CBSA,Days with AQI,Good Days,City,score
"Huntington-Ashland, WV-KY-OH",182,130,Huntington-Ashland,4
"Flagstaff, AZ",152,109,Flagstaff,4
"Peoria, IL",160,115,Peoria,4
"Columbus, IN",213,158,Columbus,4
"Richmond, VA",213,152,Richmond,4
"Savannah, GA",179,133,Savannah,4
"Rockford, IL",182,133,Rockford,4
"Hammond, LA",32,23,Hammond,4
"Champaign-Urbana, IL",183,130,Champaign-Urbana,4
"Lima, OH",182,129,Lima,4
"York-Hanover, PA",152,112,York-Hanover,4
"Madison, WI",91,67,Madison,4
"Lebanon, PA",150,105,Lebanon,4
"Ann Arbor, MI",152,112,Ann Arbor,4
"Bloomington, IN",182,134,Bloomington,4
"Ada, OK",181,135,Ada,4
"Milwaukee-Waukesha-West Allis, WI",92,66,Milwaukee-Waukesha-West Allis,4
"College Station-Bryan, TX",113,82,College Station-Bryan,4
"Buffalo-Cheektowaga-Niagara Falls, NY",183,135,Buffalo-Cheektowaga-Niagara Falls,4
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",182,135,Myrtle Beach-Conway-North Myrtle Beach,4
"Lakeland-Winter Haven, FL",91,68,Lakeland-Winter Haven,4
"Kingsville, TX",79,57,Kingsville,4
"Warner Robins, GA",179,121,Warner Robins,3
"Adrian, MI",91,60,Adrian,3
"Sierra Vista-Douglas, AZ",182,124,Sierra Vista-Douglas,3
"South Bend-Mishawaka, IN-MI",182,123,South Bend-Mishawaka,3
"Provo-Orem, UT",183,127,Provo-Orem,3
"Des Moines-West Des Moines, IA",213,139,Des Moines-West Des Moines,3
"Greeley, CO",154,103,Greeley,3
"Anchorage, AK",92,64,Anchorage,3
"Spokane-Spokane Valley, WA",121,84,Spokane-Spokane Valley,3
"Asheville, NC",121,79,Asheville,3
"Eagle Pass, TX",117,78,Eagle Pass,3
"Charleston-North Charleston, SC",211,142,Charleston-North Charleston,3
"Douglas, GA",152,100,Douglas,3
"Clinton, IA",212,138,Clinton,3
"St. George, UT",213,143,St. George,3
"Fayetteville, NC",121,83,Fayetteville,3
"Farmington, NM",165,110,Farmington,3
"Texarkana, TX-AR",121,79,Texarkana,3
"Cedar Rapids, IA",213,146,Cedar Rapids,3
"Rome, GA",179,118,Rome,3
"Evansville, IN-KY",213,145,Evansville,3
"Elkhart-Goshen, IN",182,125,Elkhart-Goshen,3
"Vernal, UT",213,142,Vernal,3
"Yuma, AZ",182,123,Yuma,3
"Orlando-Kissimmee-Sanford, FL",183,124,Orlando-Kissimmee-Sanford,3
"Lewiston, ID-WA",120,81,Lewiston,3
"Killeen-Temple, TX",121,84,Killeen-Temple,3
"Naples-Immokalee-Marco Island, FL",182,125,Naples-Immokalee-Marco Island,3
"Mobile, AL",120,78,Mobile,3
"North Port-Sarasota-Bradenton, FL",91,61,North Port-Sarasota-Bradenton,3
"Laramie, WY",182,126,Laramie,3
"Homosassa Springs, FL",91,63,Homosassa Springs,3
"McAlester, OK",150,101,McAlester,3
"Muncie, IN",181,126,Muncie,3
"Platteville, WI",91,63,Platteville,3
"Akron, OH",157,102,Akron,2
"Omaha-Council Bluffs, NE-IA",213,130,Omaha-Council Bluffs,2
"Miami, OK",91,55,Miami,2
"Valdosta, GA",161,101,Valdosta,2
"El Dorado, AR",61,37,El Dorado,2
"Boise City, ID",92,57,Boise City,2
"Butte-Silver Bow, MT",91,59,Butte-Silver Bow,2
"Carlsbad-Artesia, NM",152,96,Carlsbad-Artesia,2
"Greenville-Anderson-Mauldin, SC",213,131,Greenville-Anderson-Mauldin,2
"Prescott, AZ",181,112,Prescott,2
"Modesto, CA",55,33,Modesto,2
"Montgomery, AL",113,70,Montgomery,2
"Lake City, FL",91,55,Lake City,2
"Tallahassee, FL",91,58,Tallahassee,2
"Davenport-Moline-Rock Island, IA-IL",214,131,Davenport-Moline-Rock Island,2
"Lafayette-West Lafayette, IN",182,115,Lafayette-West Lafayette,2
